Channel 1,Channel 2, Channel 3
9725,111,111
9716,115,113
9704,120,115
9745,115,115
9746,105,113
9734,96,109
9726,96,103
9753,96,98
9748,95,95
9734,95,95
9752,86,93
9748,88,91
9725,95,91
9720,99,92
9712,113,98
9743,113,105
9754,104,107
9736,96,106
9737,96,102
9728,99,98
9752,99,97
9744,95,97
9740,94,96
9748,90,94
9716,94,93
9718,107,96
9716,119,102
9747,119,109
9743,105,112
9754,91,108
9736,91,101
9760,87,93
9762,79,87
9737,87,86
9745,83,84
9752,87,84
9752,87,86
9741,87,86
9723,89,87
9744,93,89
9779,93,90
9757,85,90
9754,80,87
9761,77,83
9759,78,80
9769,76,77
9770,71,75
9770,66,72
9768,66,69
9763,67,67
9739,70,67
9745,82,71
9762,82,75
9751,88,80
9762,79,82
9775,74,80
9761,74,78
9773,68,73
9779,62,69
9777,61,66
9755,61,63
9762,66,62
9738,77,66
9759,79,70
9784,75,74
9777,68,74
9782,56,69
9773,56,63
9770,61,60
9785,58,57
9780,59,58
9777,57,58
9776,57,57
9758,59,58
9757,69,60
9765,74,64
9787,74,69
9769,69,71
9781,61,69
9780,55,64
9776,58,60
9772,58,58
9795,58,57
9793,51,56
9787,46,53
9791,44,49
9768,47,47
9741,58,48
9761,71,55
9785,71,61
9796,63,65
9774,56,65
9789,49,59
9786,48,54
9797,48,50
9783,48,48
9792,47,47
9792,44,46
9772,48,46
9761,54,48
9787,56,50
9808,56,53
9806,39,51
9776,39,47
9797,34,42
9789,43,38
9796,43,39
9792,42,40
9796,42,42
9803,40,41
9781,42,41
9767,47,42
9791,50,44
9794,50,47
9789,46,48
9807,43,47
9785,44,45
9793,45,44
9813,36,42
9798,40,41
9809,32,38
9789,32,35
9766,42,36
9766,58,41
9779,63,48
9795,63,56
9787,53,59
9768,53,58
9764,58,56
9749,70,58
9735,79,65
9724,94,75
9704,106,87
9690,122,100
9678,139,115
9646,152,129
9634,174,146
9651,187,163
9653,187,175
9651,185,183
9672,184,185
9667,176,183
9678,166,177
9672,164,172
9685,161,166
9694,154,161
9704,146,156
9688,145,151
9682,145,147
9725,140,144
9726,129,139
9731,110,131
9737,107,121
9740,102,112
9721,102,105
9737,99,102
9749,97,100
9754,93,97
9752,85,93
9731,85,90
9720,94,89
9726,107,92
9749,107,98
9730,108,104
9741,100,105
9740,95,102
9742,95,99
9749,94,96
9764,90,93
9766,79,89
9768,71,83
9764,71,77
9736,71,73
9739,84,74
9742,95,80
9756,95,86
9772,87,90
9767,74,87
9751,74,82
9758,73,77
9756,79,75
9751,82,77
9765,79,78
9773,75,78
9764,71,76
9737,71,74
9741,83,75
9780,83,77
9773,79,79
9763,68,78
9759,68,74
9758,75,72
9757,77,72
9765,77,74
9778,74,75
9763,72,75
9774,66,72
9765,66,69
9757,72,69
9739,75,69
9757,79,73
9764,79,76
9768,75,77
9764,72,76
9788,70,74
9773,65,70
9785,57,66
9769,57,62
9780,59,59
9784,54,56
9768,61,57
9757,62,59
9759,72,62
9782,72,66
9794,65,67
9771,59,67
9787,51,61
9790,47,55
9797,47,51
9797,42,46
9792,41,44
9801,39,42
9780,41,40
9768,50,42
9768,62,48
9771,66,54
9814,66,61
9801,50,61
9791,40,55
9797,37,48
9802,37,41
9808,36,37
9796,36,36
9809,31,35
9812,27,32
9804,29,30
9778,29,29
9770,45,32
9793,50,38
9801,50,43
9794,42,46
9797,40,45
9803,37,42
9794,40,39
9807,36,38
9811,31,36
9813,27,33
9790,27,30
9767,35,30
9791,45,33
9802,45,38
9810,39,41
9806,32,40
9806,30,36
9799,30,32
9805,30,30
9794,34,31
9800,36,32
9810,33,33
9822,31,33
9774,31,32
9782,40,33
9780,55,39
9812,55,45
9813,39,47
9812,24,43
9812,24,35
9799,24,27
9825,24,24
9829,17,22
9807,20,21
9818,14,18
9814,20,17
9788,25,19
9775,35,23
9811,36,29
9822,36,33
9809,26,33
9828,19,29
9811,19,25
9819,21,21
9819,17,19
9820,17,18
9824,16,17
9805,16,16
9798,23,18
9784,34,22
9793,40,28
9835,40,34
9805,37,37
9808,29,36
9813,25,32
9822,25,29
9827,18,24
9820,15,20
9822,14,18
9828,11,14
9797,15,13
9778,26,16
9778,48,25
9802,48,34
9770,58,45
9759,62,54
9762,70,59
9726,75,66
9712,93,75
9715,115,88
9703,122,101
9683,128,114
9689,140,126
9668,150,135
9711,150,142
9693,145,146
9685,147,148
9697,141,145
9710,141,143
9701,137,141
9706,132,137
9719,128,134
9747,123,130
9732,110,123
9732,104,116
9731,104,110
9722,104,105
9755,104,104
9757,93,101
9748,84,96
9772,80,90
9754,80,84
9753,82,81
9765,76,79
9754,82,80
9763,77,79
9766,72,76
9765,72,75
9741,72,73
9765,71,71
9770,71,71
9770,68,70
9764,68,69
9782,66,68
9772,65,66
9772,64,65
9781,59,63
9794,59,61
9777,57,59
9774,57,58
9739,60,58
9775,61,58
9788,61,59
9785,56,59
9771,56,58
9783,52,56
9767,59,55
9780,60,56
9788,54,56
9790,52,56
9778,52,54
9768,53,52
9746,63,55
9785,63,57
9774,65,61
9783,57,62
9764,57,60
9784,57,59
9776,56,56
9771,62,58
9804,56,57
9789,53,56
9787,48,54
9776,48,51
9757,54,50
9795,54,51
9783,56,53
9787,51,53
9769,51,53
9783,53,52
9785,52,51
9808,52,52
9815,39,49
9797,33,44
9802,31,38
9769,36,34
9779,48,37
9767,62,44
9786,62,52
9808,53,56
9788,49,56
9802,41,51
9822,31,43
9800,35,39
9808,31,34
9808,28,31
9813,28,30
9773,28,28
9794,35,29
9778,50,35
9807,50,40
9820,35,42
9791,37,43
9810,27,37
9820,21,30
9805,28,28
9811,25,25
9813,24,24
9821,24,25
9831,19,23
9802,19,21
9759,24,21
9802,34,24
9824,34,27
9826,23,28
9819,14,26
9814,14,21
9824,14,16
9807,19,15
9816,21,17
9822,17,17
9821,17,18
9797,17,18
9794,27,19
9802,36,24
9820,36,29
9810,30,32
9807,27,32
9818,22,28
9809,26,26
9809,27,25
9836,22,24
9817,23,24
9826,14,21
9811,14,18
9799,22,18
9804,28,19
9827,28,23
9828,20,24
9823,11,21
9821,11,17
9820,14,14
9800,15,12
9834,15,13
9826,13,14
9827,9,13
9824,9,11
9802,11,10
9804,22,12
9827,22,16
9842,20,18
9825,10,18
9824,10,15
9817,11,12
9810,15,11
9810,22,14
9787,26,18
9763,37,25
9758,61,36
9727,75,49
9716,93,66
9720,112,85
9705,118,99
9686,125,112
9709,129,121
9667,140,128
9676,155,137
9689,153,144
9687,154,150
9697,148,152
9704,143,149
9671,144,147
9672,151,146
9692,154,148
9716,154,150
9726,132,147
9729,115,138
9737,108,127
9741,103,114
9776,97,105
9767,82,97
9754,75,89
9744,75,82
9750,84,79
9717,89,80
9754,89,84
9773,84,86
9760,79,85
9758,77,82
9774,69,77
9766,73,74
9781,66,71
9788,58,66
9781,55,63
9788,51,57
9761,51,53
9758,65,55
9755,76,60
9793,76,67
9781,66,70
9784,53,67
9788,50,61
9769,53,55
9792,50,51
9789,47,50
9795,45,48
9787,45,46
9774,48,46
9765,55,48
9778,60,52
9806,60,55
9801,46,55
9782,44,52
9796,37,46
9783,46,43
9778,53,45
9805,46,45
9801,44,47
9800,35,44
9787,35,40
9762,42,39
9772,56,42
9806,56,47
9791,54,52
9777,52,54
9806,37,49
9789,46,47
9801,41,44
9801,35,39
9805,35,39
9803,34,36
9770,34,34
9784,42,36
9783,52,40
9795,52,45
9821,46,48
9791,43,48
9816,30,42
9812,22,35
9809,25,30
9820,22,24
9808,25,23
9819,22,23
9815,19,22
9804,24,22
9783,26,22
9815,26,23
9811,28,26
9810,25,26
9814,23,25
9813,24,25
9823,22,23
9812,22,22
9825,18,21
9830,12,18
9822,12,16
9845,8,12
9807,10,10
9811,19,12
9812,24,15
9829,24,19
9847,15,20
9810,15,19
9816,13,16
9820,18,15
9813,21,16
9827,18,17
9816,18,18
9836,14,17
9827,9,14
9839,4,11
9815,4,7
9828,8,6
9835,4,5
9826,9,6
9840,4,6
9820,5,5
9822,12,7
9840,5,6
9839,5,6
9854,-3,4
9843,-5,0
9834,-5,-2
9796,-2,-3
9797,20,2
9836,20,8
9846,19,14
9834,1,15
9845,-4,9
9829,-3,3
9826,4,0
9848,-1,-1
9849,-2,0
9841,-8,-1
9836,-8,-4
9813,-2,-5
9816,10,-2
9839,10,2
9850,8,6
9838,-2,6
9832,-2,3
9838,-2,0
9846,-2,-2
9840,-3,-2
9845,-6,-3
9835,-6,-4
9851,-6,-5
9819,-4,-5
9812,9,-1
9830,11,2
9841,11,6
9836,3,8
9829,3,7
9841,-2,3
9844,-2,0
9826,1,0
9852,-6,-2
9851,-11,-4
9851,-15,-7
9847,-15,-11
9820,-13,-13
9824,0,-10
9845,1,-6
9859,1,-2
9833,-3,0
9839,-6,-1
9848,-7,-3
9844,-5,-5
9843,-7,-6
9835,-7,-6
9819,-3,-5
9773,9,-2
9748,40,9
9768,65,27
9771,66,45
9756,74,61
9733,74,69
9742,87,75
9713,98,83
9697,113,93
9719,120,104
9722,120,112
9722,115,117
9717,115,117
9718,116,116
9687,118,116
9741,118,116
9749,106,114
9735,98,110
9755,91,103
9770,84,94
9767,75,87
9791,67,79
9781,60,71
9787,52,63
9768,52,57
9770,60,56
9767,67,57
9797,67,61
9799,52,61
9789,43,57
9814,38,50
9791,41,43
9801,40,40
9797,37,39
9816,37,38
9807,32,36
9799,33,34
9778,33,33
9770,47,36
9795,49,40
9812,49,44
9810,33,44
9794,33,41
9826,25,35
9814,24,28
9836,16,24
9826,10,18
9816,15,16
9773,15,14
9791,32,18
9787,47,27
9824,47,35
9818,31,39
9814,20,36
9817,18,29
9806,20,22
9811,23,20
9817,22,20
9829,22,21
9818,18,21
9802,18,20
9799,26,21
9797,35,24
9835,35,28
9819,27,30
9812,20,29
9816,18,25
9841,18,20
9825,15,17
9832,7,14
9827,6,11
9828,8,9
9790,8,7
9786,27,12
9803,39,20
9831,39,28
9824,22,31
9818,15,28
9833,8,21
9812,15,15
9831,11,12
9833,4,9
9830,5,8
9818,5,6
9817,12,6
9800,18,10
9802,26,15
9812,29,21
9844,29,25
9830,15,24
9835,3,19
9829,3,12
9836,3,6
9830,3,3
9850,3,3
9845,-4,1
9854,-11,-2
9841,-11,-5
9831,-7,-8
9807,0,-7
9831,5,-3
9852,5,0
9842,0,2
9844,-7,0
9853,-12,-3
9848,-10,-7
9850,-13,-10
9862,-15,-12
9855,-16,-13
9837,-16,-15
9838,-10,-14
9812,-1,-10
9853,-1,-7
9866,-9,-5
9849,-15,-6
9839,-15,-10
9848,-12,-12
9859,-12,-13
9852,-14,-13
9858,-19,-14
9875,-22,-16
9861,-23,-19
9867,-28,-23
9840,-28,-25
9824,-14,-23
9847,-7,-19
9857,-7,-14
9862,-16,-11
9872,-23,-13
9844,-23,-17
9864,-27,-22
9864,-28,-25
9862,-27,-26
9868,-28,-27
9864,-28,-27
9829,-27,-27
9843,-17,-25
9859,-15,-21
9876,-15,-18
9860,-23,-17
9848,-23,-19
9876,-32,-23
9865,-26,-26
9862,-27,-27
9851,-27,-28
9889,-27,-26
9872,-31,-28
9873,-36,-30
9830,-36,-32
9833,-16,-29
9867,-14,-25
9866,-13,-19
9861,-27,-17
9873,-30,-21
9861,-27,-24
9856,-25,-27
9867,-28,-27
9874,-28,-27
9868,-31,-28
9861,-31,-29
9839,-28,-29
9832,-14,-26
9860,-13,-21
9881,-13,-17
9878,-33,-18
9872,-39,-24
9884,-43,-32
9869,-39,-38
9870,-35,-39
9882,-40,-39
9882,-40,-38
9868,-40,-38
9860,-39,-39
9864,-30,-37
9874,-30,-34
9882,-33,-33
9879,-40,-33
9879,-43,-36
9877,-43,-39
9870,-42,-42
9878,-41,-42
9883,-41,-41
9887,-44,-42
9872,-44,-42
9840,-41,-42
9847,-23,-38
9839,-7,-28
9835,-3,-18
9817,-1,-8
9791,10,0
9783,32,9
9789,46,21
9762,50,34
9751,63,47
9741,79,59
9747,87,69
9723,92,80
9704,104,90
9724,112,98
9745,112,105
9745,101,107
9746,91,104
9760,90,98
9763,83,91
9787,74,84
9779,65,78
9789,53,68
9800,48,60
9775,52,54
9767,54,51
9783,57,52
9809,57,55
9817,40,52
9807,28,45
9822,23,37
9813,21,28
9813,23,23
9833,18,21
9832,13,18
9832,4,14
9799,4,9
9813,13,8
9795,30,12
9801,36,20
9835,29,27
9842,18,28
9837,0,20
9817,0,11
9830,2,5
9824,9,2
9850,9,5
9846,-2,4
9849,-11,1
9835,-11,-3
9820,-4,-7
9814,8,-4
9845,8,0
9857,3,3
9823,2,5
9851,-12,0
9838,-8,-3
9838,-2,-5
9849,-7,-7
9838,-2,-4
9841,-3,-3
9824,-3,-3
9809,5,0
9809,19,4
9841,19,10
9836,13,14
9829,3,13
9832,2,9
9838,2,5
9845,1,2
9845,-5,0
9841,-7,-2
9830,-7,-4
9804,0,-4
9800,19,1
9818,25,9
9838,25,17
9847,8,19
9831,1,14
9842,-4,7
9835,-2,0
9843,-2,-1
9859,-6,-3
9855,-13,-5
9857,-20,-10
9851,-20,-14
9836,-17,-17
9842,-10,-16
9836,-3,-12
9872,-3,-8
9872,-21,-9
9849,-24,-12
9858,-29,-19
9858,-22,-24
9879,-22,-24
9869,-27,-25
9867,-32,-25
9877,-37,-29
9841,-32,-32
9830,-18,-29
9838,-3,-22
9873,-3,-14
9866,-16,-10
9867,-30,-13
9872,-33,-20
9868,-31,-27
9877,-34,-32
9866,-34,-33
9878,-36,-33
9879,-41,-36
9857,-36,-36
9858,-32,-36
9830,-21,-32
9872,-21,-27
9868,-27,-25
9873,-34,-25
9879,-36,-29
9876,-38,-33
9880,-41,-37
9883,-43,-39
9874,-42,-41
9881,-44,-42
9863,-41,-42
9868,-35,-40
9858,-29,-37
9863,-27,-33
9887,-29,-30
9868,-29,-28
9868,-32,-29
9889,-41,-32
9881,-38,-35
9896,-49,-40
9878,-49,-44
9886,-47,-45
9883,-48,-48
9889,-48,-48
9877,-48,-47
9878,-44,-47
9881,-43,-45
9929,-43,-44
9891,-50,-45
9878,-50,-46
9892,-55,-49
9880,-49,-51
9882,-45,-49
9887,-48,-49
9868,-45,-46
9861,-39,-44
9868,-32,-41
9888,-32,-37
9890,-42,-36
9872,-44,-37
9897,-53,-42
9888,-53,-48
9881,-48,-49
9892,-54,-52
9892,-54,-52
9889,-54,-52
9886,-54,-54
9866,-51,-53
9862,-40,-49
9845,-28,-43
9869,-28,-36
9865,-27,-30
9834,-19,-25
9825,-13,-21
9820,6,-13
9793,13,-3
9796,28,8
9799,38,21
9775,41,30
9773,50,39
9732,62,47
9748,75,57
9760,82,67
9777,82,75
9769,71,77
9767,68,75
9797,63,71
9775,64,66
9797,50,61
9805,39,54
9815,35,47
9801,33,39
9793,33,35
9786,39,35
9806,39,36
9822,36,36
9831,22,34
9828,11,27
9826,9,19
9846,6,12
9835,4,7
9844,-3,4
9847,-9,0
9842,-7,-3
9832,-7,-6
9820,-1,-6
9821,9,-1
9844,9,2
9859,3,5
9856,-14,1
9853,-18,-5
9859,-21,-12
9856,-20,-18
9873,-21,-20
9877,-30,-23
9873,-37,-27
9843,-37,-31
9828,-22,-31
9836,-3,-24
9857,-3,-16
9874,-10,-9
9853,-19,-8
9861,-23,-13
9872,-30,-20
9867,-28,-25
9872,-33,-28
9861,-33,-31
9868,-31,-31
9841,-28,-31
9832,-15,-26
9842,-5,-19
9885,-5,-13
9874,-22,-11
9855,-28,-15
9852,-28,-20
9879,-28,-26
9854,-18,-25
9854,-18,-23
9859,-20,-21
9860,-20,-19
9870,-23,-20
